year,band_member,instrument,rank
1967,Peter Green,Guitar 1,4
1967,Jeremy Spencer,Guitar 2,0
1968,Peter Green,Guitar 1,4
1968,Jeremy Spencer,Guitar 2,0
1971,Peter Green,Exit,-5
1968,Danny Kirwan,Guitar 3,-1
1969,Peter Green,Guitar 1,4
1969,Jeremy Spencer,Guitar 2,0
1969,Danny Kirwan,Guitar 3,-1
1971,Jeremy Spencer,Exit,-5
1970,Peter Green,Guitar 1,4
1970,Jeremy Spencer,Guitar 2,0
1970,Danny Kirwan,Guitar 3,-1
1971,Danny Kirwan,Guitar 3,-1
1972,Danny Kirwan,Exit,-5
1971,Bob Welch,Guitar 1,4
1972,Bob Welch,Guitar 1,4
1972,Dave Walker,Guitar 3,-1
1974,Bob Welch,Exit,-5
1972,Bob Weston,Guitar 2,0
1973,Dave Walker,Exit,-5
1973,Bob Welch,Guitar 1,4
1973,Bob Weston,Exit,-5
1974,Lindsey Buckingham,Guitar 1,4
1974.2,Lindsey Buckingham,Guitar 1,4.45
1975,Lindsey Buckingham,Guitar 1,4.45
1976,Lindsey Buckingham,Guitar 1,4.45
1977,Lindsey Buckingham,Guitar 1,4
1978,Lindsey Buckingham,Guitar 1,4
1979,Lindsey Buckingham,Guitar 1,4
1980,Lindsey Buckingham,Guitar 1,4
1995,Billy Burnette,Exit,-5
1974,Stevie Nicks,Vocals 1,5
1974.2,Stevie Nicks,Vocals 1,4.55
1975,Stevie Nicks,Vocals 1,4.55
1976,Stevie Nicks,Vocals 1,4.55
1977,Stevie Nicks,Vocals 1,5
1977.2,Stevie Nicks,Vocals 1,3.55
1977.8,Stevie Nicks,Vocals 1,3.55
1978,Stevie Nicks,Vocals 1,5
1979,Stevie Nicks,Vocals 1,5
1980,Stevie Nicks,Vocals 1,5
1981,Stevie Nicks,Vocals 1,5
1982,Stevie Nicks,Vocals 1,5
1983,Stevie Nicks,Vocals 1,5
1984,Stevie Nicks,Vocals 1,5
1985,Stevie Nicks,Vocals 1,5
1986,Stevie Nicks,Vocals 1,5
1987,Stevie Nicks,Vocals 1,5
1988,Stevie Nicks,Vocals 1,5
1989,Stevie Nicks,Vocals 1,5
1990,Stevie Nicks,Solo,7.5
1991,Stevie Nicks,Solo,7.5
1992,Stevie Nicks,Solo,7.5
1993,Stevie Nicks,Solo,7.5
1994,Stevie Nicks,Solo,7.5
1995,Stevie Nicks,Solo,7.5
1996,Stevie Nicks,Vocals 1,5
1997,Stevie Nicks,Vocals 1,5
1998,Stevie Nicks,Vocals 1,5
1999,Stevie Nicks,Vocals 1,5
2000,Stevie Nicks,Vocals 1,5
2001,Stevie Nicks,Vocals 1,5
2002,Stevie Nicks,Vocals 1,5
2003,Stevie Nicks,Vocals 1,5
2004,Stevie Nicks,Vocals 1,5
2005,Stevie Nicks,Vocals 1,5
2006,Stevie Nicks,Vocals 1,5
2007,Stevie Nicks,Vocals 1,5
2008,Stevie Nicks,Vocals 1,5
2009,Stevie Nicks,Vocals 1,5
2010,Stevie Nicks,Vocals 1,5
2011,Stevie Nicks,Vocals 1,5
2012,Stevie Nicks,Vocals 1,5
2013,Stevie Nicks,Vocals 1,5
2014,Stevie Nicks,Vocals 1,5
2015,Stevie Nicks,Vocals 1,5
2016,Stevie Nicks,Vocals 1,5
2017,Stevie Nicks,Vocals 1,5
2018,Stevie Nicks,Vocals 1,5
1993,Bekka Bramlett,Vocals 1,5
1994,Bekka Bramlett,Vocals 1,5
1995,Bekka Bramlett,Exit,-5
1970,Christine McVie,Keys ,3
1970.2,Christine McVie,Keys ,2.55
1971,Christine McVie,Keys ,2.55
1972,Christine McVie,Keys ,2.55
1973,Christine McVie,Keys ,3
1974,Christine McVie,Keys ,2.7
1975,Christine McVie,Keys ,2.7
1976,Christine McVie,Keys ,3
1977,Christine McVie,Keys ,3
1978,Christine McVie,Keys ,3
1979,Christine McVie,Keys ,3
1980,Christine McVie,Keys ,3
1981,Christine McVie,Keys ,3
1982,Christine McVie,Keys ,3
1983,Christine McVie,Keys ,3
1984,Christine McVie,Keys ,3
1985,Christine McVie,Keys ,3
1986,Christine McVie,Keys ,3
1987,Christine McVie,Keys ,3
1988,Christine McVie,Keys ,3
1989,Christine McVie,Keys ,3
1990,Christine McVie,Keys ,3
1991,Christine McVie,Keys ,3
1992,Christine McVie,Keys ,3
1993,Christine McVie,Keys ,3
1994,Christine McVie,Keys ,3
1995,Christine McVie,Keys ,3
1996,Christine McVie,Keys ,3
1997,Christine McVie,Keys ,3
1998,Christine McVie,Break,-3
1999,Christine McVie,Break,-3
2000,Christine McVie,Break,-3
2001,Christine McVie,Break,-3
2002,Christine McVie,Break,-3
2003,Christine McVie,Break,-3
2004,Christine McVie,Break,-3
2005,Christine McVie,Break,-3
2006,Christine McVie,Break,-3
2007,Christine McVie,Break,-3
2008,Christine McVie,Break,-3
2009,Christine McVie,Break,-3
2010,Christine McVie,Break,-3
2011,Christine McVie,Break,-3
2012,Christine McVie,Break,-3
2013,Christine McVie,Break,-3
2014,Christine McVie,Keys ,3
2015,Christine McVie,Keys ,3
2016,Christine McVie,Keys ,3
2017,Christine McVie,Keys ,3
2018,Christine McVie,Keys ,3
1981,Lindsey Buckingham,Guitar 1,4
1982,Lindsey Buckingham,Guitar 1,4
1995,Dave Mason,Exit,-5
1983,Lindsey Buckingham,Guitar 1,4
1984,Lindsey Buckingham,Guitar 1,4
1985,Lindsey Buckingham,Guitar 1,4
1986,Lindsey Buckingham,Guitar 1,4
1987,Billy Burnette,Guitar 1,4
1988,Billy Burnette,Guitar 1,4
1989,Billy Burnette,Guitar 1,4
1990,Billy Burnette,Guitar 1,4
1991,Billy Burnette,Guitar 1,4
1992,Billy Burnette,Guitar 1,4
1993,Billy Burnette,Guitar 1,4
1993,Dave Mason,Guitar 1,0
1994,Billy Burnette,Guitar 1,4
1994,Dave Mason,Guitar 1,0
1987,Lindsey Buckingham,Guitar 1,4
1988,Lindsey Buckingham,Solo,6.5
1989,Lindsey Buckingham,Solo,6.5
1990,Lindsey Buckingham,Solo,6.5
1991,Lindsey Buckingham,Solo,6.5
1992,Lindsey Buckingham,Solo,6.5
1993,Lindsey Buckingham,Guitar 1,4
1994,Lindsey Buckingham,Solo,6.5
1995,Lindsey Buckingham,Solo,6.5
1996,Lindsey Buckingham,Guitar 1,4
1997,Lindsey Buckingham,Guitar 1,4
1998,Lindsey Buckingham,Guitar 1,4
1999,Lindsey Buckingham,Guitar 1,4
2000,Lindsey Buckingham,Guitar 1,4
2001,Lindsey Buckingham,Guitar 1,4
2002,Lindsey Buckingham,Guitar 1,4
2003,Lindsey Buckingham,Guitar 1,4
2004,Lindsey Buckingham,Guitar 1,4
2005,Lindsey Buckingham,Guitar 1,4
2006,Lindsey Buckingham,Guitar 1,4
2007,Lindsey Buckingham,Guitar 1,4
2008,Lindsey Buckingham,Guitar 1,4
2009,Lindsey Buckingham,Guitar 1,4
2010,Lindsey Buckingham,Guitar 1,4
2011,Lindsey Buckingham,Guitar 1,4
2012,Lindsey Buckingham,Guitar 1,4
2013,Lindsey Buckingham,Guitar 1,4
2014,Lindsey Buckingham,Guitar 1,4
2015,Lindsey Buckingham,Guitar 1,4
2016,Lindsey Buckingham,Guitar 1,4
2017,Lindsey Buckingham,Guitar 1,4
2018,Lindsey Buckingham,Exit,-5
1967,John McVie,Bass,2
1968,John McVie,Bass,2
1969,John McVie,Bass,2
1970,John McVie,Bass,2
1970.2,John McVie,Bass,2.45
1971,John McVie,Bass,2.45
1972,John McVie,Bass,2.45
1973,John McVie,Bass,2
1974,John McVie,Bass,2.3
1975,John McVie,Bass,2.3
1976,John McVie,Bass,2
1977,John McVie,Bass,2
1978,John McVie,Bass,2
1979,John McVie,Bass,2
1980,John McVie,Bass,2
1981,John McVie,Bass,2
1982,John McVie,Bass,2
1983,John McVie,Bass,2
1984,John McVie,Bass,2
1985,John McVie,Bass,2
1986,John McVie,Bass,2
1987,John McVie,Bass,2
1988,John McVie,Bass,2
1989,John McVie,Bass,2
1990,John McVie,Bass,2
1991,John McVie,Bass,2
1992,John McVie,Bass,2
1993,John McVie,Bass,2
1994,John McVie,Bass,2
1995,John McVie,Bass,2
1996,John McVie,Bass,2
1997,John McVie,Bass,2
1998,John McVie,Bass,2
1999,John McVie,Bass,2
2000,John McVie,Bass,2
2001,John McVie,Bass,2
2002,John McVie,Bass,2
2003,John McVie,Bass,2
2004,John McVie,Bass,2
2005,John McVie,Bass,2
2006,John McVie,Bass,2
2007,John McVie,Bass,2
2008,John McVie,Bass,2
2009,John McVie,Bass,2
2010,John McVie,Bass,2
2011,John McVie,Bass,2
2012,John McVie,Bass,2
2013,John McVie,Bass,2
2014,John McVie,Bass,2
2015,John McVie,Bass,2
2016,John McVie,Bass,2
2017,John McVie,Bass,2
2018,John McVie,Bass,2
1967,Mick Fleetwood,Drums,1
1968,Mick Fleetwood,Drums,1
1969,Mick Fleetwood,Drums,1
1970,Mick Fleetwood,Drums,1
1971,Mick Fleetwood,Drums,1
1972,Mick Fleetwood,Drums,1
1973,Mick Fleetwood,Drums,1
1974,Mick Fleetwood,Drums,1
1975,Mick Fleetwood,Drums,1
1976,Mick Fleetwood,Drums,1
1977,Mick Fleetwood,Drums,1
1977.2,Mick Fleetwood,Drums,3.45
1977.8,Mick Fleetwood,Drums,3.45
1978,Mick Fleetwood,Drums,1
1979,Mick Fleetwood,Drums,1
1980,Mick Fleetwood,Drums,1
1981,Mick Fleetwood,Drums,1
1982,Mick Fleetwood,Drums,1
1983,Mick Fleetwood,Drums,1
1984,Mick Fleetwood,Drums,1
1985,Mick Fleetwood,Drums,1
1986,Mick Fleetwood,Drums,1
1987,Mick Fleetwood,Drums,1
1988,Mick Fleetwood,Drums,1
1989,Mick Fleetwood,Drums,1
1990,Mick Fleetwood,Drums,1
1991,Mick Fleetwood,Drums,1
1992,Mick Fleetwood,Drums,1
1993,Mick Fleetwood,Drums,1
1994,Mick Fleetwood,Drums,1
1995,Mick Fleetwood,Drums,1
1996,Mick Fleetwood,Drums,1
1997,Mick Fleetwood,Drums,1
1998,Mick Fleetwood,Drums,1
1999,Mick Fleetwood,Drums,1
2000,Mick Fleetwood,Drums,1
2001,Mick Fleetwood,Drums,1
2002,Mick Fleetwood,Drums,1
2003,Mick Fleetwood,Drums,1
2004,Mick Fleetwood,Drums,1
2005,Mick Fleetwood,Drums,1
2006,Mick Fleetwood,Drums,1
2007,Mick Fleetwood,Drums,1
2008,Mick Fleetwood,Drums,1
2009,Mick Fleetwood,Drums,1
2010,Mick Fleetwood,Drums,1
2011,Mick Fleetwood,Drums,1
2012,Mick Fleetwood,Drums,1
2013,Mick Fleetwood,Drums,1
2014,Mick Fleetwood,Drums,1
2015,Mick Fleetwood,Drums,1
2016,Mick Fleetwood,Drums,1
2017,Mick Fleetwood,Drums,1
2018,Mick Fleetwood,Drums,1
1987,Rick Vito,Guitar 2,0
1988,Rick Vito,Guitar 2,0
1989,Rick Vito,Guitar 2,0
1990,Rick Vito,Guitar 2,0
1991,Rick Vito,Exit,-5
